,TENURE,BALANCE_FREQUENCY_RANGE,PURCHASES_FREQUENCY_RANGE,ONEOFF_PURCHASES_FREQUENCY_RANGE,PURCHASES_INSTALLMENTS_FREQUENCY_RANGE,CASH_ADVANCE_FREQUENCY_RANGE,PRC_FULL_PAYMENT_RANGE,BALANCE_RANGE,PURCHASES_RANGE,ONEOFF_PURCHASES_RANGE,INSTALLMENTS_PURCHASES_RANGE,CASH_ADVANCE_RANGE,CREDIT_LIMIT_RANGE,PAYMENTS_RANGE,MINIMUM_PAYMENTS_RANGE,PURCHASES_TRX_RANGE,CASH_ADVANCE_TRX_RANGE,cluster
36,11,10,0,0,0,8,0,5,0,0,0,5,5,3,3,0,3,1
37,12,10,8,5,8,4,0,4,3,3,2,3,4,3,3,6,2,2
38,12,10,1,1,0,4,0,5,1,1,0,3,5,3,3,1,3,1
39,12,5,1,1,0,4,4,3,2,2,0,5,5,6,2,2,2,1
40,12,8,0,0,0,3,2,2,0,0,0,4,3,4,1,0,1,3
41,12,10,6,5,4,3,2,2,3,2,2,3,3,3,1,5,3,2
42,12,10,1,1,0,0,0,4,1,1,0,0,4,2,3,1,0,3
43,12,10,0,0,0,1,0,3,0,0,0,3,3,1,1,0,1,3
44,12,10,10,4,10,0,0,5,3,1,3,0,5,3,3,4,0,2
45,12,10,4,1,4,2,0,3,1,1,1,1,3,0,2,1,1,3
46,8,5,4,0,3,2,0,1,1,0,1,3,3,1,1,1,1,3
47,12,10,0,0,0,5,0,4,0,0,0,3,4,0,2,0,2,1
48,12,10,10,7,10,0,10,1,3,3,2,0,4,3,1,7,0,2
49,12,10,2,2,0,1,1,2,2,2,0,2,4,2,1,1,1,3
50,8,10,7,4,3,9,0,4,2,2,1,5,6,5,3,2,6,1
51,12,10,7,6,5,0,0,3,4,3,2,0,3,3,3,4,0,2
52,12,10,0,0,0,3,0,3,0,0,0,1,4,2,2,0,1,3
53,9,9,7,7,0,2,2,1,3,3,0,3,3,4,1,3,1,2
54,12,7,7,0,7,0,0,1,1,0,1,0,2,1,2,2,0,0
55,12,10,3,3,0,0,0,3,3,3,0,0,5,0,2,2,0,3
56,12,10,3,3,0,5,0,4,1,1,0,2,4,0,2,1,1,1
57,12,10,10,10,5,0,1,3,5,4,1,0,5,5,3,6,0,2
58,11,10,0,0,0,2,0,4,0,0,0,1,4,2,3,0,1,1
59,12,10,5,0,4,4,0,5,1,0,1,2,5,3,3,2,1,1
60,12,8,2,2,0,0,0,3,1,1,0,0,5,4,2,1,0,3
61,12,10,1,1,0,0,0,3,1,1,0,0,3,1,2,1,0,3
62,11,10,0,0,0,6,1,2,0,0,0,4,4,4,1,0,2,1
63,12,1,1,1,0,0,0,1,2,2,0,0,3,0,2,1,0,3
64,12,10,10,0,10,1,1,3,3,0,3,3,3,4,4,7,1,0
65,12,10,6,4,2,0,0,3,1,1,1,0,3,2,2,3,0,3
66,8,9,0,0,0,2,0,2,0,0,0,2,3,1,1,0,1,3
67,12,10,0,0,0,5,0,3,0,0,0,1,3,2,1,0,2,3
68,12,10,7,1,6,0,1,4,1,1,1,0,5,5,3,2,0,0
69,12,10,4,4,0,0,0,3,3,3,0,0,3,3,2,1,0,3
70,12,10,10,0,9,4,0,5,1,0,1,2,5,3,3,3,1,1
71,12,10,7,5,6,9,5,3,4,3,3,6,5,6,3,6,5,1
72,8,10,0,0,0,2,3,2,0,0,0,3,5,2,1,0,1,3
73,10,10,5,1,4,0,0,3,2,2,1,0,3,2,2,2,0,0
74,11,10,3,1,2,0,0,2,2,2,1,0,5,3,1,2,0,3
75,12,10,9,2,8,0,0,5,2,1,1,0,5,3,3,3,0,2
76,12,10,10,10,0,0,0,3,2,2,0,0,6,3,2,4,0,2
77,12,10,8,0,7,0,0,2,1,0,1,0,3,3,1,2,0,0
78,12,10,0,0,0,1,0,3,0,0,0,1,3,1,5,0,1,3
79,12,10,6,6,0,5,0,5,1,1,0,4,5,3,3,2,2,1
80,12,10,7,2,6,0,2,1,1,1,1,0,4,1,1,3,0,0
81,12,3,0,0,0,2,0,1,0,0,0,3,5,1,1,0,1,3
82,12,7,5,2,3,0,5,1,1,1,1,0,6,1,1,1,0,3
83,12,6,5,0,5,0,10,1,1,0,1,0,3,2,1,3,0,0
84,12,10,10,10,4,1,0,3,4,4,1,1,5,4,2,6,1,2
85,12,10,10,10,0,0,10,1,3,3,0,0,6,3,1,5,0,2
86,12,10,10,9,10,8,0,5,3,3,1,5,6,4,3,5,5,1
87,12,10,10,8,10,8,0,5,3,3,2,5,6,4,3,7,5,2
88,12,10,1,1,0,1,0,4,1,1,0,1,4,3,2,1,1,3
89,12,10,0,0,0,5,0,5,0,0,0,3,5,3,3,0,3,1
90,12,10,10,3,10,1,0,5,5,3,4,1,5,5,5,6,1,2
91,11,10,10,1,9,6,1,3,3,1,2,4,4,4,2,4,5,1
92,12,10,1,1,0,1,0,3,1,1,0,1,3,1,1,1,1,3
93,12,10,2,2,0,0,0,3,1,1,0,0,3,0,2,1,0,3
94,12,10,3,3,0,0,0,3,1,1,0,0,3,0,2,1,0,3
95,12,10,0,0,0,1,0,3,0,0,0,1,3,1,3,0,1,3
96,12,10,7,7,0,0,0,3,2,2,0,0,5,1,1,3,0,3
97,12,10,0,0,0,5,0,4,0,0,0,3,4,0,2,0,2,1
98,12,4,3,0,2,0,10,1,1,0,1,0,5,1,1,1,0,3
99,7,0,0,0,0,2,0,0,0,0,0,1,3,1,2,0,1,3
100,9,7,2,2,0,0,0,1,1,1,0,0,3,1,1,1,0,3
101,12,3,10,0,10,0,0,1,3,0,3,0,3,2,1,3,0,0
102,12,10,10,10,9,0,1,4,3,3,3,0,5,5,3,7,0,2
103,12,1,10,0,10,0,0,1,1,0,1,0,4,0,2,6,0,0
104,12,10,0,0,0,1,1,2,0,0,0,2,4,3,1,0,1,3
105,12,10,3,3,0,4,0,3,2,2,0,2,4,2,3,1,2,1
106,12,10,10,0,10,0,1,1,2,0,2,0,3,3,1,3,0,0
107,12,10,0,0,0,6,0,4,0,0,0,5,5,3,3,0,6,1
108,12,10,7,2,5,1,0,3,1,1,1,1,3,2,1,2,1,0
109,12,10,10,10,10,6,1,5,4,3,3,5,5,6,3,7,5,2
110,12,9,10,4,9,0,0,1,3,2,2,0,5,2,1,6,0,2
111,12,10,0,0,0,1,0,4,0,0,0,3,4,0,2,0,1,3
112,12,10,10,3,10,4,0,5,3,2,3,3,5,3,3,7,2,2
113,12,10,0,0,0,3,0,5,0,0,0,4,5,3,3,0,3,1
114,12,9,7,5,4,0,10,1,3,3,1,0,4,3,1,3,0,2
115,12,10,10,6,10,0,0,2,3,2,1,0,3,2,1,5,0,2
116,12,7,6,0,5,0,4,1,3,0,3,0,5,3,1,3,0,0
117,12,10,0,0,0,3,0,3,0,0,0,2,3,2,3,0,2,1
118,12,3,2,0,2,0,10,1,1,0,1,0,5,3,1,1,0,3
119,12,10,0,0,0,4,0,3,0,0,0,2,3,2,2,0,1,3
120,12,10,10,10,10,5,0,5,5,4,3,3,6,3,3,7,2,2
121,12,10,3,3,0,0,0,3,3,3,0,0,5,0,2,2,0,3
122,12,10,10,0,10,0,0,3,5,0,5,0,5,4,2,7,0,2
123,12,10,0,0,0,2,0,3,0,0,0,2,4,3,3,0,1,1
124,12,10,0,0,0,4,0,6,0,0,0,4,6,4,4,0,2,1
125,12,10,10,10,0,0,0,3,6,6,0,0,3,6,3,8,0,2
126,8,8,0,0,0,2,2,1,0,0,0,1,3,1,1,0,1,3
127,12,10,9,2,6,0,0,4,3,3,2,0,4,3,3,4,0,2
128,12,10,1,1,0,5,0,6,1,1,0,5,6,3,3,1,3,1
129,12,1,0,0,0,1,0,1,0,0,0,3,6,0,2,0,1,3
130,12,3,3,3,0,1,0,1,2,2,0,1,4,0,2,2,1,3
131,12,10,9,3,9,0,0,4,3,1,2,0,4,3,4,6,0,2
132,12,7,6,0,5,0,0,1,1,0,1,0,3,1,1,2,0,0
133,12,10,1,1,0,7,1,5,2,2,0,6,6,6,3,1,4,1
134,12,10,10,0,10,0,0,1,1,0,1,0,4,2,1,5,0,0
135,12,10,5,2,3,0,0,3,3,3,1,0,3,3,2,2,0,2
136,12,10,10,5,10,0,0,3,5,3,4,0,6,3,2,7,0,2
137,12,10,10,4,10,3,0,2,2,2,1,2,3,2,1,4,1,0
138,12,10,10,8,10,0,0,6,6,5,6,0,6,6,6,8,0,2
139,12,10,10,10,0,1,0,3,2,2,0,2,3,3,2,3,1,2
140,12,10,4,3,2,0,0,2,1,1,1,0,2,1,2,1,0,3
141,12,9,0,0,0,2,0,2,0,0,0,3,5,3,1,0,1,3
142,12,10,0,0,0,5,0,5,0,0,0,4,5,0,2,0,2,1
143,12,10,7,5,6,0,0,6,3,3,2,0,6,4,4,3,0,2
144,12,10,10,10,10,0,0,3,5,4,3,0,5,4,2,7,0,2
145,12,10,1,1,0,0,0,4,3,3,0,0,5,2,2,1,0,3
146,12,10,9,0,9,0,0,1,2,0,2,0,5,2,2,2,0,0
147,12,10,1,1,0,1,1,1,1,1,0,1,5,3,1,1,1,3
148,12,10,5,3,5,0,0,3,2,1,2,0,3,3,2,2,0,0
149,12,10,9,1,9,1,1,2,3,1,2,1,6,3,1,3,1,0
150,12,10,6,0,5,2,0,5,4,0,4,2,5,4,6,3,2,1
151,12,10,10,10,10,0,0,3,4,4,2,0,5,3,1,6,0,2
152,12,10,10,0,10,0,10,1,2,0,2,0,5,2,1,5,0,0
153,12,10,10,8,10,8,0,6,5,4,5,3,6,6,5,8,5,2
154,12,7,10,5,10,0,7,1,3,2,3,0,4,3,1,6,0,2
155,12,4,4,0,3,0,3,1,3,0,3,0,6,4,1,1,0,0
156,12,10,10,10,5,8,0,5,4,4,1,4,5,0,2,6,3,2
157,12,10,0,0,0,2,0,3,0,0,0,1,3,1,3,0,1,3
158,12,10,10,10,7,0,3,3,5,5,3,0,6,6,3,7,0,2
159,12,10,1,1,0,1,0,3,1,1,0,1,3,1,1,1,1,3
160,12,10,0,0,0,5,0,3,0,0,0,1,3,2,2,0,1,3
161,12,10,0,0,0,1,0,4,0,0,0,2,5,3,3,0,1,1
162,12,10,10,1,10,0,0,2,2,1,2,0,3,3,1,5,0,0
163,12,10,3,1,2,0,0,3,2,2,1,0,4,1,2,1,0,3
164,6,10,10,0,9,0,5,1,1,0,1,0,2,1,1,2,0,0
165,12,10,0,0,0,1,0,5,0,0,0,1,5,3,3,0,1,1
166,12,4,10,0,10,0,0,2,1,0,1,0,5,3,1,3,0,0
167,12,10,10,7,8,1,10,2,5,4,2,3,6,4,1,6,1,2
168,12,10,10,0,10,0,0,3,2,0,2,0,2,3,3,3,0,0
169,12,10,7,5,4,0,0,1,3,3,2,0,4,3,1,4,0,2
170,9,7,0,0,0,3,0,2,0,0,0,4,4,4,1,0,1,1
171,12,10,10,10,9,6,8,2,6,5,4,3,6,6,1,8,4,2
172,12,4,3,0,2,0,2,1,1,0,1,0,6,1,1,1,0,3
173,7,9,0,0,0,3,2,3,0,0,0,4,3,3,1,0,2,1
174,12,10,10,10,10,2,0,6,5,4,3,3,6,4,4,7,1,2
175,12,10,0,0,0,2,0,3,0,0,0,1,3,1,1,0,1,3
176,12,10,9,9,0,3,0,3,2,2,0,3,3,0,2,3,1,3
177,12,10,0,0,0,6,0,3,0,0,0,3,3,3,3,0,3,1
178,12,10,10,5,10,0,10,1,4,3,3,0,6,3,1,6,0,2
179,12,5,5,0,5,0,2,1,1,0,1,0,5,2,1,1,0,3
180,12,10,10,4,10,0,0,2,3,1,3,0,3,3,1,6,0,0
181,12,0,1,0,1,0,0,0,1,0,1,0,4,0,2,1,0,3
182,12,10,3,0,2,8,2,3,1,0,1,6,4,6,2,1,5,1
183,12,1,1,1,1,0,0,1,1,1,1,0,6,0,2,1,0,3
184,12,10,7,5,5,0,0,1,2,1,1,0,5,1,1,3,0,0
185,12,9,9,0,8,0,2,1,3,0,3,0,3,3,1,5,0,0
186,12,10,2,0,2,3,0,3,1,0,1,3,5,3,1,1,1,1
187,12,10,10,4,10,0,0,2,2,1,1,0,2,2,2,5,0,0
188,12,10,5,5,0,1,0,2,2,2,0,1,3,0,2,2,1,3
189,12,10,4,4,0,1,0,2,1,1,0,2,3,1,1,3,1,3
190,12,8,3,3,0,0,1,1,1,1,0,0,5,1,1,1,0,3
191,12,10,1,1,0,0,0,1,1,1,0,0,5,0,2,1,0,3
192,12,4,1,1,0,1,1,1,1,1,0,3,4,3,1,1,1,3
193,12,10,5,0,5,0,0,5,3,0,3,0,6,3,3,4,0,2
194,12,10,5,5,0,0,0,4,2,2,0,0,4,3,3,3,0,2
195,12,10,10,2,9,0,0,5,4,2,3,0,6,3,3,6,0,2
196,12,9,8,1,7,0,9,1,4,1,4,0,5,3,1,6,0,0
197,12,10,10,10,6,0,6,1,3,3,1,0,6,3,1,6,0,2
198,12,10,2,2,0,0,0,3,2,2,0,0,5,2,2,1,0,3
199,12,10,2,0,2,8,0,5,1,0,1,3,5,3,4,1,3,1
200,12,5,2,2,0,0,0,1,1,1,0,0,6,3,1,1,0,3
201,12,10,5,2,5,4,0,2,1,1,1,3,3,3,1,3,2,1
202,12,10,9,0,9,0,9,1,1,0,1,0,4,1,1,2,0,0
203,12,10,4,2,2,1,0,5,3,2,3,2,6,4,3,2,1,2
204,12,10,10,7,10,0,0,4,6,5,3,0,5,5,3,8,0,2
205,12,1,1,0,1,0,1,1,1,0,1,0,4,1,1,1,0,3
206,12,10,2,2,0,5,0,3,2,2,0,3,3,3,2,1,2,1
207,12,10,4,4,1,3,0,5,2,2,1,5,6,3,3,2,4,1
208,12,10,9,6,7,5,0,5,3,2,1,4,6,3,3,5,2,2
209,12,5,3,1,2,0,3,1,2,2,1,0,4,3,1,1,0,3
210,12,10,10,10,2,8,0,5,1,1,1,5,5,3,3,3,5,1
211,12,10,5,5,1,0,0,4,2,2,1,0,5,3,2,2,0,2
212,12,9,0,0,0,1,0,3,0,0,0,1,5,4,2,0,1,3
213,12,10,8,8,0,0,0,2,1,1,0,0,5,2,1,2,0,3
214,12,8,3,0,2,0,0,1,2,0,2,0,4,2,1,1,0,3
215,12,2,2,0,1,0,0,1,1,0,1,0,5,0,2,1,0,3
216,12,10,10,2,10,1,0,3,2,1,2,1,3,2,1,6,1,0
217,12,6,4,1,2,0,2,1,1,1,1,0,6,1,1,2,0,3
218,12,10,5,4,3,9,0,3,1,1,1,3,3,3,3,2,4,1
219,12,10,10,10,10,1,0,3,4,4,3,1,5,5,2,7,1,2
220,12,10,10,8,10,0,0,5,6,5,5,0,5,6,5,8,0,2
221,12,10,10,10,1,0,0,4,3,3,1,0,5,2,2,4,0,2
222,7,9,2,2,0,0,0,1,1,1,0,0,3,1,1,1,0,3
223,12,10,10,10,8,0,0,5,3,3,1,0,6,3,3,5,0,2
224,12,10,4,4,0,0,0,5,5,5,0,0,5,6,3,1,0,2
225,12,10,1,1,0,0,0,1,1,1,0,0,4,1,1,1,0,3
226,12,10,10,5,9,0,0,4,3,1,3,0,4,3,4,6,0,2
227,12,10,9,5,8,0,0,4,3,3,2,0,5,3,2,5,0,2
228,9,4,0,0,0,2,5,1,0,0,0,1,3,3,1,0,1,3
229,12,10,8,7,6,0,4,3,6,3,5,0,6,5,2,6,0,2
230,12,10,8,3,6,0,0,3,2,1,2,0,3,2,1,3,0,0
231,12,10,10,0,10,0,1,1,4,0,4,0,3,3,3,3,0,0
232,12,10,10,10,0,1,0,3,3,3,0,3,5,3,1,5,1,2
233,12,10,1,1,0,0,0,3,1,1,0,0,3,2,2,1,0,3
234,12,10,9,7,8,1,0,3,3,3,3,1,3,3,3,6,1,2
235,12,10,10,10,0,0,0,4,3,3,0,0,5,0,2,3,0,2
236,12,10,5,0,5,3,0,5,1,0,1,3,6,3,3,2,1,1
237,12,10,4,1,3,1,0,4,1,1,1,1,6,3,2,1,1,1
238,12,6,5,0,5,2,0,1,1,0,1,1,5,1,1,2,1,3
239,12,10,6,2,4,0,0,3,1,1,1,0,3,2,3,2,0,0
240,12,9,3,3,0,3,0,4,3,3,0,5,5,0,2,1,1,1
241,12,7,5,1,4,0,10,1,3,3,2,0,4,4,1,3,0,0
242,12,10,10,10,10,0,2,3,5,4,2,0,5,5,1,8,0,2
243,11,10,1,1,0,0,0,2,2,2,0,0,5,1,1,1,0,3
244,12,10,10,7,10,0,0,3,4,3,3,0,3,4,3,6,0,2
245,12,4,3,0,2,0,2,1,1,0,1,0,3,1,1,1,0,3
246,12,10,10,6,8,0,0,1,3,3,2,0,6,3,1,6,0,2
247,12,10,10,0,10,0,0,1,1,0,1,0,3,1,1,3,0,0
248,12,10,10,0,10,5,0,5,1,0,1,6,6,6,3,3,3,1
249,12,10,10,10,5,0,0,5,4,4,1,0,6,3,3,7,0,2
250,12,10,3,3,0,4,0,3,3,3,0,4,4,4,2,3,2,1
251,12,10,10,0,10,0,1,2,2,0,2,0,2,3,3,3,0,0
252,12,10,5,0,5,0,3,1,1,0,1,0,3,1,1,1,0,0
253,12,10,10,10,0,0,10,1,3,3,0,0,6,3,1,3,0,2
254,12,10,0,0,0,2,0,5,0,0,0,1,5,3,3,0,1,1
255,11,4,4,0,3,0,5,1,1,0,1,0,3,1,1,1,0,3
256,12,9,1,1,0,0,0,1,1,1,0,0,5,1,1,1,0,3
257,12,10,9,8,5,3,0,3,3,3,1,2,6,2,1,5,2,2
258,12,10,10,0,10,0,0,5,3,0,3,0,6,3,3,7,0,2
259,12,10,0,0,0,2,1,3,0,0,0,3,3,3,2,0,1,1
260,12,9,2,2,0,0,0,3,4,4,0,0,5,4,2,1,0,2
261,12,10,10,9,10,1,0,3,4,3,3,1,4,3,2,7,1,2
262,12,10,10,9,8,1,1,3,5,4,3,1,3,4,3,7,1,2
263,6,10,10,5,9,5,0,5,5,4,4,5,5,4,5,7,3,2
264,12,8,5,1,5,0,0,2,1,1,1,0,5,3,1,2,0,0
265,12,10,10,1,10,0,0,5,4,1,4,0,5,5,5,3,0,2
266,12,10,10,5,10,0,0,3,3,2,3,0,5,3,1,6,0,2
267,12,10,10,10,0,0,0,3,2,2,0,0,5,2,2,3,0,2
268,12,10,2,2,0,0,1,1,2,2,0,0,5,2,1,1,0,3
269,12,10,10,8,3,1,1,3,5,5,1,3,6,6,2,6,1,2
270,12,10,10,10,10,1,10,2,4,4,3,1,5,4,1,7,1,2
271,12,10,2,2,0,5,0,4,1,1,0,3,5,2,2,1,1,1
272,12,10,10,5,8,0,9,1,3,3,1,0,6,3,1,5,0,2
273,12,10,10,10,10,0,1,5,6,6,5,0,6,6,3,7,0,2
274,12,10,10,1,10,4,1,5,1,1,1,6,6,6,3,5,3,1
275,12,2,1,1,0,0,0,1,1,1,0,0,3,1,1,1,0,3
276,12,10,3,3,0,1,0,3,1,1,0,1,3,1,2,1,1,3
277,12,3,1,1,0,0,0,1,1,1,0,0,5,0,2,1,0,3
278,12,10,8,0,7,0,5,3,1,0,1,0,6,5,2,2,0,0
279,12,10,10,2,10,1,0,3,3,2,3,3,5,2,1,3,1,2
280,12,10,5,5,4,0,0,5,4,4,1,0,6,4,3,3,0,2
281,12,10,10,0,10,1,0,3,1,0,1,1,2,2,3,3,1,0
282,12,10,6,1,5,0,0,2,1,1,1,0,5,2,1,2,0,0
283,12,10,10,3,10,0,0,3,3,2,3,0,3,3,3,7,0,2
284,12,9,0,0,0,1,2,1,0,0,0,2,3,3,1,0,1,3
285,12,10,0,0,0,7,1,4,0,0,0,5,5,5,3,0,4,1
286,12,10,0,0,0,1,0,3,0,0,0,2,3,2,2,0,1,3
287,12,10,6,6,1,3,0,3,1,1,1,3,4,2,3,3,1,1
288,12,7,5,5,0,0,5,1,2,2,0,0,5,3,1,4,0,3
289,12,10,0,0,0,2,0,5,0,0,0,2,5,3,3,0,1,1
290,12,10,10,10,7,0,10,1,3,2,3,0,5,3,1,6,0,2
291,12,10,5,3,2,2,0,5,1,1,1,3,5,3,3,2,2,1
292,12,10,2,2,0,0,0,4,3,3,0,0,4,2,2,1,0,3
293,12,10,0,0,0,6,0,4,0,0,0,1,4,3,3,0,2,1
294,12,10,10,0,10,0,4,1,1,0,1,0,5,1,1,3,0,0
295,12,9,8,3,8,0,10,2,5,3,4,0,3,5,1,6,0,2
296,12,10,2,2,0,3,0,3,1,1,0,3,5,3,1,1,1,1
297,12,10,0,0,0,1,0,5,0,0,0,4,6,3,3,0,1,1
298,12,10,10,10,0,0,0,3,2,2,0,0,3,3,2,3,0,2
299,12,10,7,7,0,1,7,1,3,3,0,1,1,3,1,3,1,2
300,12,10,3,3,0,2,0,4,2,2,0,3,4,3,3,3,2,1
301,12,10,10,3,10,0,1,3,3,3,3,0,6,5,3,5,0,2
302,12,10,0,0,0,1,0,4,0,0,0,3,5,5,2,0,1,1
303,12,8,6,5,3,0,0,1,3,3,1,0,3,1,1,3,0,0
304,12,10,0,0,0,5,0,5,0,0,0,5,6,3,3,0,2,1
305,12,10,10,2,10,0,10,1,3,1,3,0,4,3,1,6,0,0
306,12,10,10,6,7,0,7,1,3,1,3,0,5,3,1,5,0,2
307,12,10,10,1,10,0,9,1,3,2,2,0,4,3,1,4,0,0
308,11,10,0,0,0,2,0,3,0,0,0,3,4,1,2,0,1,3
309,12,10,7,2,6,0,0,2,1,1,1,0,3,0,2,3,0,0
310,12,10,10,10,1,0,10,1,1,1,1,0,6,2,1,3,0,2
311,12,10,10,10,10,3,0,3,3,3,2,3,3,3,2,6,2,2
312,12,10,10,10,10,0,0,2,5,3,3,0,5,0,2,7,0,2
313,12,10,0,0,0,4,0,2,0,0,0,1,2,2,1,0,1,3
314,12,10,0,0,0,2,0,3,0,0,0,4,5,3,2,0,1,1
315,11,10,0,0,0,4,0,1,0,0,0,2,2,1,1,0,2,3
316,7,9,0,0,0,2,0,4,0,0,0,5,5,2,3,0,1,1
317,12,10,9,9,0,0,0,2,1,1,0,0,3,1,1,2,0,3
318,12,10,10,0,10,0,2,1,1,0,1,0,3,1,1,3,0,0
319,12,1,9,1,8,0,0,1,2,1,2,0,5,3,2,4,0,0
320,12,10,1,0,1,5,0,4,1,0,1,3,5,3,3,1,3,1
321,12,10,8,1,7,4,0,5,2,1,2,4,6,3,3,4,2,1
322,12,10,0,0,0,4,0,5,0,0,0,3,5,3,3,0,2,1
323,12,10,2,2,0,0,0,3,1,1,0,0,5,3,2,1,0,3
324,12,10,0,0,0,7,0,3,0,0,0,4,4,1,1,0,2,1
325,12,10,10,0,10,0,4,1,2,0,2,0,3,1,1,5,0,0
326,12,8,7,1,7,0,1,4,3,1,3,0,6,6,3,5,0,2
327,12,10,10,10,0,3,0,3,2,2,0,2,3,3,3,3,1,2
328,12,10,1,1,0,4,0,2,1,1,0,3,2,3,1,1,2,3
329,12,10,10,10,1,0,10,1,4,4,1,0,5,3,1,5,0,2
330,12,10,0,0,0,2,0,3,0,0,0,1,3,2,3,0,1,3
331,12,10,8,8,0,0,10,1,3,3,0,0,5,3,1,3,0,2
332,12,10,10,5,10,0,1,2,3,3,1,0,5,4,1,6,0,2
333,12,10,10,10,9,0,6,1,4,3,3,0,6,4,1,6,0,2
334,11,10,0,0,0,10,0,3,0,0,0,3,3,3,3,0,3,1
335,12,10,3,0,2,2,0,3,1,0,1,4,5,5,2,1,2,1
336,12,2,2,0,2,0,0,1,1,0,1,0,3,2,1,1,0,3
337,12,10,10,9,5,0,10,1,4,4,1,0,5,4,1,7,0,2
338,12,5,4,0,3,0,8,1,1,0,1,0,3,1,1,1,0,3
339,12,10,10,0,10,0,1,4,1,0,1,0,6,5,2,3,0,0
340,12,10,2,2,0,2,0,2,1,1,0,3,4,1,1,1,1,3
341,12,5,4,4,0,5,8,3,3,3,0,6,5,6,1,2,4,1
342,12,10,2,2,0,1,0,3,1,1,0,1,3,2,1,1,1,3
343,10,6,1,1,0,0,0,1,1,1,0,0,3,1,1,1,0,3
344,12,10,10,9,10,0,10,1,3,3,3,0,5,3,1,7,0,2
345,12,5,5,1,5,0,0,1,1,1,1,0,3,1,1,2,0,3
346,12,10,10,10,0,0,0,3,1,1,0,0,5,3,1,3,0,2
347,12,10,10,5,9,0,0,3,3,1,2,0,3,3,1,6,0,2
348,12,10,10,4,10,8,0,4,3,2,3,5,6,5,2,7,4,2
349,12,10,7,0,7,0,8,1,1,0,1,0,4,1,1,4,0,0
350,12,10,0,0,0,1,0,4,0,0,0,1,6,3,3,0,1,1
